date,block,plot,old_id,clip_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/19/2021,1,CT,,CT1,1,3,9.25,,9.25,-100
6/19/2021,1,CT,,CT1,2,3,11,,11,-100
6/19/2021,1,CT,,CT1,3,3,19,,19,-100
6/19/2021,1,CT,,CT1,4,2,12,,12,-100
6/19/2021,1,CT,,CT1,5,3,9.25,,9.25,-100
6/19/2021,1,CT,,CT1,6,2,7.5,,7.5,-100
6/19/2021,1,CT,,CT1,7,2,7,,7,-100
6/19/2021,1,CT,,CT1,8,2,7.5,,7.5,-100
6/19/2021,1,CT,,CT1,9,2,11,,11,-100
6/19/2021,1,CT,,CT1,10,2,8,,8,-100
6/19/2021,1,CT,,CT2,1,3,14,,14,-100
6/19/2021,1,CT,,CT2,2,3,14,,14,-100
6/19/2021,1,CT,,CT2,3,3,12,,12,-100
6/19/2021,1,CT,,CT2,4,3,16,,16,-100
6/19/2021,1,CT,,CT2,5,3,9,,9,-100
6/19/2021,1,CT,,CT2,6,3,9.5,,9.5,-100
6/19/2021,1,CT,,CT2,7,3,16,,16,-100
6/19/2021,1,CT,,CT2,8,2,12,,12,-100
6/19/2021,1,CT,,CT2,9,3,12,,12,-100
6/19/2021,1,CT,,CT2,10,3,13,,13,-100
6/19/2021,1,CT,,PU1,1,2,5.5,,5.5,-100
6/19/2021,1,CT,,PU1,2,2,12,,12,-100
6/19/2021,1,CT,,PU1,3,3,8.9,,8.9,-100
6/19/2021,1,CT,,PU1,4,2,7.1,,7.1,-100
6/19/2021,1,CT,,PU1,5,3,8.7,,8.7,-100
6/19/2021,1,CT,,PU1,6,3,9,,9,-100
6/19/2021,1,CT,,PU1,7,3,8.5,,8.5,-100
6/19/2021,1,CT,,PU1,8,2,9,,9,-100
6/19/2021,1,CT,,PU1,9,2,9.1,,9.1,-100
6/19/2021,1,CT,,PU1,10,2,2,,2,-100
6/19/2021,1,CT,,PU2,1,1,7.5,,7.5,-100
6/19/2021,1,CT,,PU2,2,2,10.5,,10.5,-100
6/19/2021,1,CT,,PU2,3,3,10.2,,10.2,-100
6/19/2021,1,CT,,PU2,4,3,12,,12,-100
6/19/2021,1,CT,,PU2,5,1,6.3,,6.3,-100
6/19/2021,1,CT,,PU2,6,2,8.5,,8.5,-100
6/19/2021,1,CT,,PU2,7,2,2.9,,2.9,-100
6/19/2021,1,CT,,PU2,8,2,9.5,,9.5,-100
6/19/2021,1,CT,,PU2,9,2,10.5,,10.5,-100
6/19/2021,1,CT,,PU2,10,3,11.5,,11.5,-100
6/19/2021,1,CT,,PR1,1,3,6.5,,6.5,-100
6/19/2021,1,CT,,PR1,2,2,10,,10,-100
6/19/2021,1,CT,,PR1,3,2,6.5,,6.5,-100
6/19/2021,1,CT,,PR1,4,2,6,,6,-100
6/19/2021,1,CT,,PR1,5,2,5,,5,-100
6/19/2021,1,CT,,PR1,6,3,5.5,,5.5,-100
6/19/2021,1,CT,,PR1,7,2,8,,8,-100
6/19/2021,1,CT,,PR1,8,3,9,,9,-100
6/19/2021,1,CT,,PR1,9,3,5.5,,5.5,-100
6/19/2021,1,CT,,PR1,10,2,5,,5,-100
6/19/2021,1,CT,,PR2,1,2,4,,4,-100
6/19/2021,1,CT,,PR2,2,2,6.5,,6.5,-100
6/19/2021,1,CT,,PR2,3,2,4.5,,4.5,-100
6/19/2021,1,CT,,PR2,4,2,5,,5,-100
6/19/2021,1,CT,,PR2,5,2,8,,8,-100
6/19/2021,1,CT,,PR2,6,2,6,,6,-100
6/19/2021,1,CT,,PR2,7,4,6,,6,-100
6/19/2021,1,CT,,PR2,8,4,6,,6,-100
6/19/2021,1,CT,,PR2,9,2,3.5,,3.5,-100
6/19/2021,1,CT,,PR2,10,2,2.7,,2.7,-100
6/19/2021,1,F2,,CT1,1,1,9.5,,9.5,-100
6/19/2021,1,F2,,CT1,2,3,12,,12,-100
6/19/2021,1,F2,,CT1,3,2,13.5,,13.5,-100
6/19/2021,1,F2,,CT1,4,2,4,,4,-100
6/19/2021,1,F2,,CT1,5,2,9,,9,-100
6/19/2021,1,F2,,CT1,6,3,12.5,,12.5,-100
6/19/2021,1,F2,,CT1,7,1,4.5,,4.5,-100
6/19/2021,1,F2,,CT1,8,3,9,,9,-100
6/19/2021,1,F2,,CT1,9,2,9.5,,9.5,-100
6/19/2021,1,F2,,CT1,10,2,11.5,,11.5,-100
6/19/2021,1,F2,,CT2,1,4,8.5,,8.5,-100
6/19/2021,1,F2,,CT2,2,1,5,,5,-100
6/19/2021,1,F2,,CT2,3,3,13,,13,-100
6/19/2021,1,F2,,CT2,4,3,18,,18,-100
6/19/2021,1,F2,,CT2,5,3,10.5,,10.5,-100
6/19/2021,1,F2,,CT2,6,3,9.5,,9.5,-100
6/19/2021,1,F2,,CT2,7,2,11.5,,11.5,-100
6/19/2021,1,F2,,CT2,8,3,10.5,,10.5,-100
6/19/2021,1,F2,,CT2,9,2,12,,12,-100
6/19/2021,1,F2,,CT2,10,1,13,,13,-100
6/19/2021,1,F2,,PU1,1,2,9.25,,9.25,-100
6/19/2021,1,F2,,PU1,2,3,12,,12,-100
6/19/2021,1,F2,,PU1,3,4,12.5,,12.5,-100
6/19/2021,1,F2,,PU1,4,4,8,,8,-100
6/19/2021,1,F2,,PU1,5,3,9,,9,-100
6/19/2021,1,F2,,PU1,6,2,7,,7,-100
6/19/2021,1,F2,,PU1,7,2,12,,12,-100
6/19/2021,1,F2,,PU1,8,3,11,,11,-100
6/19/2021,1,F2,,PU1,9,2,12.75,,12.75,-100
6/19/2021,1,F2,,PU1,10,2,7,,7,-100
6/19/2021,1,F2,,PU2,1,2,6,,6,-100
6/19/2021,1,F2,,PU2,2,2,3,,3,-100
6/19/2021,1,F2,,PU2,3,3,7,,7,-100
6/19/2021,1,F2,,PU2,4,2,5,,5,-100
6/19/2021,1,F2,,PU2,5,2,7.5,,7.5,-100
6/19/2021,1,F2,,PU2,6,2,7.5,,7.5,-100
6/19/2021,1,F2,,PU2,7,1,5.5,,5.5,-100
6/19/2021,1,F2,,PU2,8,4,10,,10,-100
6/19/2021,1,F2,,PU2,9,3,7,,7,-100
6/19/2021,1,F2,,PU2,10,4,3.5,,3.5,-100
6/19/2021,1,F2,,PR1,1,3,8.5,,8.5,-100
6/19/2021,1,F2,,PR1,2,3,6,,6,-100
6/19/2021,1,F2,,PR1,3,3,5,,5,-100
6/19/2021,1,F2,,PR1,4,3,5.5,,5.5,-100
6/19/2021,1,F2,,PR1,5,2,5.5,,5.5,-100
6/19/2021,1,F2,,PR1,6,3,9,,9,-100
6/19/2021,1,F2,,PR1,7,2,5.5,,5.5,-100
6/19/2021,1,F2,,PR1,8,2,8.5,,8.5,-100
6/19/2021,1,F2,,PR1,9,2,7.5,,7.5,-100
6/19/2021,1,F2,,PR1,10,3,8.5,,8.5,-100
