year,plot,block,quad,species,rel.cov,lat.name
2008,F5,2,2,And pol,0.06289,Andromeda polifolia
2008,F5,3,2,And pol,0.02871,Andromeda polifolia
2008,F5,3,4,And pol,0.00917,Andromeda polifolia
2010,CT,2,6,And pol,0.011,Andromeda polifolia
2010,CT,3,3,And pol,0.005,Andromeda polifolia
2010,F5,3,1,And pol,0.032,Andromeda polifolia
2011,F5,3,7,And pol,0.006451613,Andromeda polifolia
2012,F2,3,8,And pol,0.0056,Andromeda polifolia
2012,F5,3,1,And pol,0.0152,Andromeda polifolia
2012,F5,3,2,And pol,0.0084,Andromeda polifolia
2012,F5,3,8,And pol,0.018,Andromeda polifolia
2013,F5,1,1,And pol,0.7207,Andromeda polifolia
2014,CT,3,6,And pol,0.0101,Andromeda polifolia
2015,CT,2,5,And pol,0.0093,Andromeda polifolia
2015,F2,3,5,And pol,0.0071,Andromeda polifolia
2015,F5,3,4,And pol,0.0067,Andromeda polifolia
2015,F5,3,5,And pol,0.0068,Andromeda polifolia
2015,F10,3,5,And pol,0.0061,Andromeda polifolia
2016,CT,1,2,And pol,0.0083,Andromeda polifolia
2016,F5,1,4,And pol,0.008,Andromeda polifolia
2016,CT,2,4,And pol,0.0116,Andromeda polifolia
2016,CT,2,6,And pol,0.0111,Andromeda polifolia
2016,F2,2,6,And pol,0.0128,Andromeda polifolia
2016,F2,2,8,And pol,0.012,Andromeda polifolia
2016,F5,2,8,And pol,0.0103,Andromeda polifolia
2016,CT,3,5,And pol,0.008,Andromeda polifolia
2016,F2,3,3,And pol,0.0185,Andromeda polifolia
2016,F2,3,4,And pol,0.0122,Andromeda polifolia
2016,F2,3,5,And pol,0.0081,Andromeda polifolia
2016,F2,3,7,And pol,0.0469,Andromeda polifolia
2016,F2,3,8,And pol,0.0471,Andromeda polifolia
2016,F10,3,4,And pol,0.0187,Andromeda polifolia
2016,F10,3,6,And pol,0.0095,Andromeda polifolia
2016,F10,3,8,And pol,0.0098,Andromeda polifolia
2017,F2,3,1,And pol,0.006756757,Andromeda polifolia
2017,F2,3,2,And pol,0.015151515,Andromeda polifolia
2017,F2,3,3,And pol,0.01242236,Andromeda polifolia
2017,F5,3,5,And pol,0.031914894,Andromeda polifolia
2018,F2,3,1,And pol,0.006134969,Andromeda polifolia
2018,F2,3,2,And pol,0.009433962,Andromeda polifolia
2018,F2,3,3,And pol,0.007936508,Andromeda polifolia
2018,F5,3,3,And pol,0.015151515,Andromeda polifolia
2018,F5,3,5,And pol,0.0078125,Andromeda polifolia
2019,F2,3,1,And pol,0.040268456,Andromeda polifolia
2019,F2,3,2,And pol,0.03125,Andromeda polifolia
2019,F2,3,3,And pol,0.020512821,Andromeda polifolia
2019,F5,3,3,And pol,0.013071895,Andromeda polifolia
2019,F5,3,5,And pol,0.007142857,Andromeda polifolia
2019,F5,3,6,And pol,0.014184397,Andromeda polifolia
2008,CT,1,3,Arc alp,0.03478,Arctostaphylos alpina
2008,CT,1,4,Arc alp,0.04065,Arctostaphylos alpina
2008,F2,1,1,Arc alp,0.103,Arctostaphylos alpina
2008,F2,1,2,Arc alp,0.00885,Arctostaphylos alpina
2008,F5,1,1,Arc alp,0.08889,Arctostaphylos alpina
2008,F5,1,2,Arc alp,0.0098,Arctostaphylos alpina
2008,F10,1,1,Arc alp,0.06,Arctostaphylos alpina
2008,F10,1,2,Arc alp,0.01961,Arctostaphylos alpina
2008,CT,2,3,Arc alp,0.03727,Arctostaphylos alpina
2008,CT,2,4,Arc alp,0.14545,Arctostaphylos alpina
2008,F2,3,2,Arc alp,0.10909,Arctostaphylos alpina
2008,F2,3,3,Arc alp,0.05882,Arctostaphylos alpina
2008,F2,3,4,Arc alp,0.00966,Arctostaphylos alpina
2010,CT,1,1,Arc alp,0.027,Arctostaphylos alpina
