year,region ,site,treatment ,quad,species ,cover
2019,TL,ST,CT,1,moss,0.323529412
2019,TL,ST,CT,1,lichen,0.009803922
2019,TL,ST,CT,1,litter,0.058823529
2019,TL,ST,CT,1,frost boil,0
2019,TL,ST,CT,1,bare,0
2019,TL,ST,CT,1,And pol,0
2019,TL,ST,CT,1,Bet nan,0.068627451
2019,TL,ST,CT,1,Car big,0.039215686
2019,TL,ST,CT,1,Cas tet,0
2019,TL,ST,CT,1,Emp nig,0.117647059
2019,TL,ST,CT,1,Eri vag,0.098039216
2019,TL,ST,CT,1,Led pal,0.058823529
2019,TL,ST,CT,1,Ped lap,0
2019,TL,ST,CT,1,Pol bis,0.004901961
2019,TL,ST,CT,1,Rub cha,0.019607843
2019,TL,ST,CT,1,Sal pul,0.004901961
2019,TL,ST,CT,1,Vac uli,0.019607843
2019,TL,ST,CT,1,Vac vit,0.039215686
2019,TL,ST,CT,1,St. D. Bet.,0
2019,TL,ST,CT,1,Dead,0.049019608
2019,TL,ST,CT,1,sal ret,0.088235294
2019,TL,ST,CT,1,vac vit winter kill,0
2019,TL,ST,CT,1,calcan,0
2019,TL,ST,CT,2,moss,0.176470588
2019,TL,ST,CT,2,lichen,0.019607843
2019,TL,ST,CT,2,litter,0.068627451
2019,TL,ST,CT,2,frost boil,0
2019,TL,ST,CT,2,bare,0
2019,TL,ST,CT,2,And pol,0
2019,TL,ST,CT,2,Bet nan,0.215686275
2019,TL,ST,CT,2,Car big,0.039215686
2019,TL,ST,CT,2,Cas tet,0
2019,TL,ST,CT,2,Emp nig,0
2019,TL,ST,CT,2,Eri vag,0.196078431
2019,TL,ST,CT,2,Led pal,0.068627451
2019,TL,ST,CT,2,Ped lap,0
2019,TL,ST,CT,2,Pol bis,0.009803922
2019,TL,ST,CT,2,Rub cha,0.009803922
2019,TL,ST,CT,2,Sal pul,0.019607843
2019,TL,ST,CT,2,Vac uli,0
2019,TL,ST,CT,2,Vac vit,0.039215686
2019,TL,ST,CT,2,St. D. Bet.,0
2019,TL,ST,CT,2,Dead,0
2019,TL,ST,CT,2,sal ret,0.098039216
2019,TL,ST,CT,2,vac vit winter kill,0.039215686
2019,TL,ST,CT,2,calcan,0
2019,TL,ST,CT,3,moss,0.241758242
