"","year","block","plot","Bare ground","Deciduous","Evergreen","Forb","Grass","Lichen","Litter","Moss","Sedge","Standing dead"
"1","2008",1,"CT",0.0165775,0.2103925,0.2237575,0.037095,0.0341,0.04496,0.12031,0.1634775,0.129395,0.0110975
"2","2008",1,"F10",0.034365,0.2090275,0.1913925,0.083415,0.0567925,0.03444,0.0736325,0.029585,0.284925,0.0024275
"3","2008",1,"F2",0.03736,0.1128725,0.2622725,0.0951475,0.0831125,0.04911,0.11996,0.0866675,0.151355,0
"4","2008",1,"F5",0.03348,0.110085,0.31122,0.0958625,0.0397425,0.0238425,0.12698,0.0544175,0.19678,0.00245
"5","2008",2,"CT",0.0188925,0.23033,0.26212,0.0307775,0.034485,0.033105,0.095375,0.1217925,0.15602,0.0086075
"6","2008",2,"F10",0.0182825,0.2400425,0.21239,0.0467525,0.1092275,0.0158525,0.0602,0.017815,0.2753625,0.0040625
"7","2008",2,"F2",0,0.174325,0.4079675,0.0372275,0.0169775,0.00858,0.098575,0.1065225,0.13775,0.009735
"8","2008",2,"F5",0.030925,0.176125,0.3036625,0.02065,0.0558625,0.0242,0.0805525,0.070385,0.23636,0
"9","2008",3,"CT",0.0975625,0.14194,0.2434075,0.0422725,0.05088,0.04719,0.1459325,0.0785425,0.1302225,0.0195375
"10","2008",3,"F10",0.0143325,0.2695125,0.2459125,0.0964625,0.0384025,0.04326,0.057315,0.0383575,0.1916175,0.0048325
"11","2008",3,"F2",0.0214525,0.2551275,0.2855825,0.049485,0.049505,0.0446175,0.0945325,0.1472025,0.0465575,0.00473
"12","2008",3,"F5",0.0441925,0.2301825,0.2818,0.071145,0.0533775,0.0323875,0.08343,0.0634,0.127455,0.0126275
"13","2010",1,"CT",0.002125,0.219375,0.2645,0.0715,0.0405,0.069875,0.060125,0.15325,0.1175,5e-04
"14","2010",1,"F10",0.00475,0.279,0.1625,0.1365,0.11625,0.01325,0.060875,0.040375,0.187,0
"15","2010",1,"F5",0.01325,0.2495,0.2525,0.068125,0.038625,0.037625,0.068125,0.097625,0.17,0.002625
"16","2010",2,"CT",0.007625,0.237875,0.2735,0.00925,0.060875,0.082125,0.068,0.12875,0.12725,0.005125
"17","2010",2,"F10",0.00225,0.411125,0.150625,0.137375,0.045375,0.00325,0.070625,0.015375,0.164125,0
"18","2010",2,"F5",0.0075,0.3405,0.318,0.011875,0.04925,0.01875,0.062,0.0365,0.155625,0
"19","2010",3,"CT",0.016875,0.2005,0.218125,0.022,0.05,0.10425,0.063125,0.183,0.1375,0.004125
"20","2010",3,"F10",0.00225,0.30025,0.205,0.11375,0.052875,0.02225,0.0635,0.02875,0.211125,0.000625
"21","2010",3,"F5",0.001375,0.23825,0.269,0.06625,0.033875,0.06375,0.0805,0.05175,0.192875,0.002875
"22","2011",1,"CT",0,0.192957619625,0.21742121075,0.048357388125,0.016009123125,0.007134811375,0.11390795775,0.20653311525,0.19002759025,0
"23","2011",1,"F10",0.012695711375,0.25326899825,0.089422923625,0.146108341875,0.080818219125,0.007447432125,0.09546416575,0.049384581125,0.25175408775,0
"24","2011",1,"F5",0.025913353625,0.21755013125,0.194477996375,0.062296385,0.070681488375,0.00716234675,0.078638505125,0.06389310425,0.270037964375,0
"25","2011",2,"CT",0.03669243875,0.18855718325,0.212759453375,0.022132265,0.050897020875,0.030319136875,0.103274540625,0.1704347335,0.177627478375,0
"26","2011",2,"F10",0,0.474230962875,0.093191924625,0.0599234475,0.025697910375,0,0.126706150875,0.009491794,0.198366359625,0
"27","2011",2,"F5",0.013663911875,0.270098117125,0.247673865875,0.011423652375,0.0437157045,0.010420849625,0.108365035,0.039180719125,0.245415100125,0
"28","2011",3,"CT",0.06694017825,0.21865437,0.1296684305,0.030626278375,0.063120910625,0.070402677,0.115717390625,0.11845258975,0.1779484545,0
"29","2011",3,"F10",0.002840909125,0.35179272775,0.0888907185,0.11181012675,0.05042606025,0.003881844375,0.115203494625,0.014449341875,0.25383247775,0
"30","2011",3,"F5",0.012835912875,0.213315965375,0.19779379925,0.086827252,0.01046319725,0.03335705625,0.102676599125,0.042189324375,0.288970228625,0.001666666625
"31","2012",1,"CT",0.0020875,0.2975875,0.2544,0.068575,0.0347375,0.007125,0.0560375,0.075575,0.20195,0
"32","2012",1,"F10",0.016175,0.2312375,0.1323,0.1324875,0.0598375,0.0046125,0.1989375,0.020575,0.1911,0.0127875
"33","2012",1,"F2",0.0057625,0.2140875,0.3104625,0.114325,0.0566125,0.01635,0.0437625,0.0904625,0.1481875,0
"34","2012",1,"F5",0.01125,0.24715,0.2184,0.0948375,0.0682375,0.0111125,0.068225,0.0412375,0.2394875,0
"35","2012",2,"CT",0.0178,0.2166875,0.2366,0.024,0.045625,0.024325,0.0845875,0.1309875,0.2194125,0
"36","2012",2,"F10",0.0218875,0.3673875,0.1757875,0.1507375,0.03095,0.0017875,0.1218,0.007375,0.1222,0
"37","2012",2,"F2",0.0048,0.18245,0.3932,0.09655,0.02235,0.0215375,0.060675,0.0887125,0.1297125,0
"38","2012",2,"F5",0.0028,0.3750625,0.2891625,0.009125,0.065025,0.0045875,0.1137375,0.009125,0.131375,0
"39","2012",3,"CT",0.013825,0.25415,0.2740625,0.0312375,0.0887,0.050725,0.0781875,0.095125,0.1121625,0
"40","2012",3,"F10",0.01905,0.306675,0.14085,0.1082375,0.03395,0.0013,0.19945,0.0051875,0.185275,0
"41","2012",3,"F2",0,0.3248375,0.26455,0.0745,0.0551125,0.016475,0.0251125,0.0737125,0.1657625,0
"42","2012",3,"F5",0.00095,0.337925,0.2658,0.111875,0.0313375,0.015825,0.0602,0.0282125,0.1400625,0
