"","year","block","plot","quad","species","rel.cov","lat.name"
"1",2008,1,"CT",1,"bare",0.03774,"Bare soil"
"2",2008,1,"CT",1,"Bet nan",0.16038,"Betula nana"
"3",2008,1,"CT",1,"Car big",0.03774,"Carex Bigelowii"
"4",2008,1,"CT",1,"Emp nig",0.09434,"Empetrum nigrum"
"5",2008,1,"CT",1,"Eri vag",0.07547,"Eriophorum vaginatum"
"6",2008,1,"CT",1,"Led pal",0.10377,"Ledum palustre"
"7",2008,1,"CT",1,"lichen",0.03774,"Mixed Lichens"
"8",2008,1,"CT",1,"litter",0.1,"Mixed dead litter"
"9",2008,1,"CT",1,"moss",0.16038,"Mixed moss"
"10",2008,1,"CT",1,"Ped lap",0.00943,"Pedicularis lapponica"
"11",2008,1,"CT",1,"Pol bis",0.01887,"Polygonum bistorta"
"12",2008,1,"CT",1,"Rub cha",0.01887,"Rubus chamaemorus"
"13",2008,1,"CT",1,"St. D. Bet.",0.01887,"Standing Dead Betula nana"
"14",2008,1,"CT",1,"Vac uli",0.0566,"Vaccinium uliginosum"
"15",2008,1,"CT",1,"Vac vit",0.0566,"Vaccinium vitis-idaea"
"16",2008,1,"CT",2,"bare",0.02857,"Bare soil"
"17",2008,1,"CT",2,"Bet nan",0.12381,"Betula nana"
"18",2008,1,"CT",2,"Car big",0.04762,"Carex Bigelowii"
"19",2008,1,"CT",2,"Emp nig",0.05714,"Empetrum nigrum"
"20",2008,1,"CT",2,"Eri vag",0.11429,"Eriophorum vaginatum"
"21",2008,1,"CT",2,"Led pal",0.07619,"Ledum palustre"
"22",2008,1,"CT",2,"lichen",0.06667,"Mixed Lichens"
"23",2008,1,"CT",2,"litter",0.11429,"Mixed dead litter"
"24",2008,1,"CT",2,"moss",0.26667,"Mixed moss"
"25",2008,1,"CT",2,"Ped lap",0.00952,"Pedicularis lapponica"
"26",2008,1,"CT",2,"Pol bis",0.00476,"Polygonum bistorta"
"27",2008,1,"CT",2,"Rub cha",0.01905,"Rubus chamaemorus"
"28",2008,1,"CT",2,"Sal pul",0.04762,"Salix pulchra"
"29",2008,1,"CT",2,"Vac vit",0.01905,"Vaccinium vitis-idaea"
"30",2008,1,"CT",3,"Arc alp",0.03478,"Arctostaphylos alpina"
"31",2008,1,"CT",3,"Bet nan",0.12174,"Betula nana"
"32",2008,1,"CT",3,"Car big",0.03478,"Carex Bigelowii"
"33",2008,1,"CT",3,"Emp nig",0.05217,"Empetrum nigrum"
"34",2008,1,"CT",3,"Eri vag",0.16522,"Eriophorum vaginatum"
"35",2008,1,"CT",3,"Led pal",0.15652,"Ledum palustre"
"36",2008,1,"CT",3,"lichen",0.03478,"Mixed Lichens"
"37",2008,1,"CT",3,"litter",0.10435,"Mixed dead litter"
"38",2008,1,"CT",3,"moss",0.11304,"Mixed moss"
"39",2008,1,"CT",3,"Ped lap",0.0087,"Pedicularis lapponica"
"40",2008,1,"CT",3,"Pol bis",0.02609,"Polygonum bistorta"
"41",2008,1,"CT",3,"Rub cha",0.0087,"Rubus chamaemorus"
"42",2008,1,"CT",3,"Sal pul",0.05217,"Salix pulchra"
"43",2008,1,"CT",3,"St. D. Bet.",0.01739,"Standing Dead Betula nana"
"44",2008,1,"CT",3,"Vac uli",0.0087,"Vaccinium uliginosum"
"45",2008,1,"CT",3,"Vac vit",0.04348,"Vaccinium vitis-idaea"
"46",2008,1,"CT",4,"Arc alp",0.04065,"Arctostaphylos alpina"
"47",2008,1,"CT",4,"Bet nan",0.06504,"Betula nana"
"48",2008,1,"CT",4,"Car big",0.01626,"Carex Bigelowii"
"49",2008,1,"CT",4,"Emp nig",0.0813,"Empetrum nigrum"
"50",2008,1,"CT",4,"Eri vag",0.1626,"Eriophorum vaginatum"
"51",2008,1,"CT",4,"Led pal",0.08943,"Ledum palustre"
"52",2008,1,"CT",4,"lichen",0.04065,"Mixed Lichens"
"53",2008,1,"CT",4,"litter",0.1626,"Mixed dead litter"
"54",2008,1,"CT",4,"moss",0.11382,"Mixed moss"
"55",2008,1,"CT",4,"Ped lap",0.00813,"Pedicularis lapponica"
"56",2008,1,"CT",4,"Rub cha",0.01626,"Rubus chamaemorus"
"57",2008,1,"CT",4,"Sal pul",0.02439,"Salix pulchra"
"58",2008,1,"CT",4,"St. D. Bet.",0.00813,"Standing Dead Betula nana"
"59",2008,1,"CT",4,"Vac uli",0.10569,"Vaccinium uliginosum"
"60",2008,1,"CT",4,"Vac vit",0.06504,"Vaccinium vitis-idaea"
"61",2008,1,"F10",1,"Arc alp",0.06,"Arctostaphylos alpina"
"62",2008,1,"F10",1,"Arc lat",0.07,"Arctagrostis latifolia"
"63",2008,1,"F10",1,"bare",0.03,"Bare soil"
"64",2008,1,"F10",1,"Bet nan",0.04,"Betula nana"
"65",2008,1,"F10",1,"Car big",0.03,"Carex Bigelowii"
"66",2008,1,"F10",1,"Eri vag",0.28,"Eriophorum vaginatum"
"67",2008,1,"F10",1,"Led pal",0.09,"Ledum palustre"
"68",2008,1,"F10",1,"lichen",0.04,"Mixed Lichens"
"69",2008,1,"F10",1,"litter",0.06,"Mixed dead litter"
"70",2008,1,"F10",1,"moss",0.04,"Mixed moss"
"71",2008,1,"F10",1,"Ped lap",0.01,"Pedicularis lapponica"
"72",2008,1,"F10",1,"Rub cha",0.05,"Rubus chamaemorus"
"73",2008,1,"F10",1,"Sal pul",0.1,"Salix pulchra"
"74",2008,1,"F10",1,"Vac vit",0.1,"Vaccinium vitis-idaea"
"75",2008,1,"F10",2,"Arc alp",0.01961,"Arctostaphylos alpina"
"76",2008,1,"F10",2,"Arc lat",0.02941,"Arctagrostis latifolia"
"77",2008,1,"F10",2,"bare",0.03922,"Bare soil"
"78",2008,1,"F10",2,"Bet nan",0.26471,"Betula nana"
"79",2008,1,"F10",2,"Car big",0.01961,"Carex Bigelowii"
"80",2008,1,"F10",2,"Eri vag",0.23529,"Eriophorum vaginatum"
"81",2008,1,"F10",2,"Led pal",0.09804,"Ledum palustre"
"82",2008,1,"F10",2,"lichen",0.01961,"Mixed Lichens"
"83",2008,1,"F10",2,"litter",0.07843,"Mixed dead litter"
"84",2008,1,"F10",2,"moss",0.02941,"Mixed moss"
"85",2008,1,"F10",2,"Pol bis",0.03922,"Polygonum bistorta"
"86",2008,1,"F10",2,"Rub cha",0.04902,"Rubus chamaemorus"
"87",2008,1,"F10",2,"Vac vit",0.07843,"Vaccinium vitis-idaea"
"88",2008,1,"F10",3,"bare",0.03883,"Bare soil"
"89",2008,1,"F10",3,"Bet nan",0.1165,"Betula nana"
"90",2008,1,"F10",3,"Car big",0.02913,"Carex Bigelowii"
"91",2008,1,"F10",3,"Eri vag",0.31068,"Eriophorum vaginatum"
"92",2008,1,"F10",3,"Led pal",0.19417,"Ledum palustre"
"93",2008,1,"F10",3,"lichen",0.02913,"Mixed Lichens"
"94",2008,1,"F10",3,"litter",0.07767,"Mixed dead litter"
"95",2008,1,"F10",3,"moss",0.00971,"Mixed moss"
"96",2008,1,"F10",3,"Pol bis",0.02913,"Polygonum bistorta"
"97",2008,1,"F10",3,"Rub cha",0.05825,"Rubus chamaemorus"
"98",2008,1,"F10",3,"St. D. Bet.",0.00971,"Standing Dead Betula nana"
"99",2008,1,"F10",3,"Vac vit",0.09709,"Vaccinium vitis-idaea"
"100",2008,1,"F10",4,"Arc lat",0.01961,"Arctagrostis latifolia"
"101",2008,1,"F10",4,"bare",0.02941,"Bare soil"
"102",2008,1,"F10",4,"Bet nan",0.23529,"Betula nana"
"103",2008,1,"F10",4,"Car big",0.02941,"Carex Bigelowii"
