"","year","block","plot","quad","species","rel_cov","func_grp"
"1",2008,1,"CT",1,"bare",0.03774,"Bare ground"
"2",2008,1,"CT",1,"Bet nan",0.16038,"Deciduous shrubs"
"3",2008,1,"CT",1,"Car big",0.03774,"Grass"
"4",2008,1,"CT",1,"Emp nig",0.09434,"Evergreen shrubs"
"5",2008,1,"CT",1,"Eri vag",0.07547,"Sedge"
"6",2008,1,"CT",1,"Led pal",0.10377,"Evergreen shrubs"
"7",2008,1,"CT",1,"lichen",0.03774,"Lichen"
"8",2008,1,"CT",1,"litter",0.1,"Litter"
"9",2008,1,"CT",1,"moss",0.16038,"Moss"
"10",2008,1,"CT",1,"Ped lap",0.00943,"Forb"
"11",2008,1,"CT",1,"Pol bis",0.01887,"Forb"
"12",2008,1,"CT",1,"Rub cha",0.01887,"Forb"
"13",2008,1,"CT",1,"St. D",0.01887,"Standing dead"
"14",2008,1,"CT",1,"Vac uli",0.0566,"Deciduous shrubs"
"15",2008,1,"CT",1,"Vac vit",0.0566,"Evergreen shrubs"
"16",2008,1,"CT",2,"bare",0.02857,"Bare ground"
"17",2008,1,"CT",2,"Bet nan",0.12381,"Deciduous shrubs"
"18",2008,1,"CT",2,"Car big",0.04762,"Grass"
"19",2008,1,"CT",2,"Emp nig",0.05714,"Evergreen shrubs"
"20",2008,1,"CT",2,"Eri vag",0.11429,"Sedge"
"21",2008,1,"CT",2,"Led pal",0.07619,"Evergreen shrubs"
"22",2008,1,"CT",2,"lichen",0.06667,"Lichen"
"23",2008,1,"CT",2,"litter",0.11429,"Litter"
"24",2008,1,"CT",2,"moss",0.26667,"Moss"
"25",2008,1,"CT",2,"Ped lap",0.00952,"Forb"
"26",2008,1,"CT",2,"Pol bis",0.00476,"Forb"
"27",2008,1,"CT",2,"Rub cha",0.01905,"Forb"
"28",2008,1,"CT",2,"Sal pul",0.04762,"Deciduous shrubs"
"29",2008,1,"CT",2,"Vac vit",0.01905,"Evergreen shrubs"
"30",2008,1,"CT",3,"Arc alp",0.03478,"Deciduous shrubs"
"31",2008,1,"CT",3,"Bet nan",0.12174,"Deciduous shrubs"
"32",2008,1,"CT",3,"Car big",0.03478,"Grass"
"33",2008,1,"CT",3,"Emp nig",0.05217,"Evergreen shrubs"
"34",2008,1,"CT",3,"Eri vag",0.16522,"Sedge"
"35",2008,1,"CT",3,"Led pal",0.15652,"Evergreen shrubs"
"36",2008,1,"CT",3,"lichen",0.03478,"Lichen"
"37",2008,1,"CT",3,"litter",0.10435,"Litter"
"38",2008,1,"CT",3,"moss",0.11304,"Moss"
"39",2008,1,"CT",3,"Ped lap",0.0087,"Forb"
"40",2008,1,"CT",3,"Pol bis",0.02609,"Forb"
"41",2008,1,"CT",3,"Rub cha",0.0087,"Forb"
"42",2008,1,"CT",3,"Sal pul",0.05217,"Deciduous shrubs"
"43",2008,1,"CT",3,"St. D",0.01739,"Standing dead"
"44",2008,1,"CT",3,"Vac uli",0.0087,"Deciduous shrubs"
"45",2008,1,"CT",3,"Vac vit",0.04348,"Evergreen shrubs"
"46",2008,1,"CT",4,"Arc alp",0.04065,"Deciduous shrubs"
"47",2008,1,"CT",4,"Bet nan",0.06504,"Deciduous shrubs"
"48",2008,1,"CT",4,"Car big",0.01626,"Grass"
"49",2008,1,"CT",4,"Emp nig",0.0813,"Evergreen shrubs"
"50",2008,1,"CT",4,"Eri vag",0.1626,"Sedge"
