"","date","block","plot","old_id","rep","t_num","g_ht","y_ht","max_ht","y_pct","clip_id","d_sub2","clip"
"1","6/19/2021",1,"CT",NA,1,1,7.5,NA,7.5,"-100","PU2",10,"PU"
"2","6/19/2021",1,"CT",NA,1,2,4,NA,4,"-100","PR2",10,"PR"
"3","6/19/2021",1,"CT",NA,1,2,5.5,NA,5.5,"-100","PU1",10,"PU"
"4","6/19/2021",1,"CT",NA,1,3,6.5,NA,6.5,"-100","PR1",10,"PR"
"5","6/19/2021",1,"CT",NA,1,3,9.25,NA,9.25,"-100","CT1",10,"CT"
"6","6/19/2021",1,"CT",NA,1,3,14,NA,14,"-100","CT2",10,"CT"
"7","6/19/2021",1,"CT",NA,2,2,6.5,NA,6.5,"-100","PR2",10,"PR"
"8","6/19/2021",1,"CT",NA,2,2,10,NA,10,"-100","PR1",10,"PR"
"9","6/19/2021",1,"CT",NA,2,2,10.5,NA,10.5,"-100","PU2",10,"PU"
"10","6/19/2021",1,"CT",NA,2,2,12,NA,12,"-100","PU1",10,"PU"
"11","6/19/2021",1,"CT",NA,2,3,11,NA,11,"-100","CT1",10,"CT"
"12","6/19/2021",1,"CT",NA,2,3,14,NA,14,"-100","CT2",10,"CT"
"13","6/19/2021",1,"CT",NA,3,2,4.5,NA,4.5,"-100","PR2",10,"PR"
"14","6/19/2021",1,"CT",NA,3,2,6.5,NA,6.5,"-100","PR1",10,"PR"
"15","6/19/2021",1,"CT",NA,3,3,8.9,NA,8.9,"-100","PU1",10,"PU"
"16","6/19/2021",1,"CT",NA,3,3,10.2,NA,10.2,"-100","PU2",10,"PU"
"17","6/19/2021",1,"CT",NA,3,3,12,NA,12,"-100","CT2",10,"CT"
"18","6/19/2021",1,"CT",NA,3,3,19,NA,19,"-100","CT1",10,"CT"
"19","6/19/2021",1,"CT",NA,4,2,5,NA,5,"-100","PR2",10,"PR"
"20","6/19/2021",1,"CT",NA,4,2,6,NA,6,"-100","PR1",10,"PR"
"21","6/19/2021",1,"CT",NA,4,2,7.1,NA,7.1,"-100","PU1",10,"PU"
"22","6/19/2021",1,"CT",NA,4,2,12,NA,12,"-100","CT1",10,"CT"
"23","6/19/2021",1,"CT",NA,4,3,12,NA,12,"-100","PU2",10,"PU"
"24","6/19/2021",1,"CT",NA,4,3,16,NA,16,"-100","CT2",10,"CT"
"25","6/19/2021",1,"CT",NA,5,1,6.3,NA,6.3,"-100","PU2",10,"PU"
"26","6/19/2021",1,"CT",NA,5,2,5,NA,5,"-100","PR1",10,"PR"
"27","6/19/2021",1,"CT",NA,5,2,8,NA,8,"-100","PR2",10,"PR"
"28","6/19/2021",1,"CT",NA,5,3,8.7,NA,8.7,"-100","PU1",10,"PU"
"29","6/19/2021",1,"CT",NA,5,3,9,NA,9,"-100","CT2",10,"CT"
"30","6/19/2021",1,"CT",NA,5,3,9.25,NA,9.25,"-100","CT1",10,"CT"
"31","6/19/2021",1,"CT",NA,6,2,6,NA,6,"-100","PR2",10,"PR"
"32","6/19/2021",1,"CT",NA,6,2,7.5,NA,7.5,"-100","CT1",10,"CT"
"33","6/19/2021",1,"CT",NA,6,2,8.5,NA,8.5,"-100","PU2",10,"PU"
"34","6/19/2021",1,"CT",NA,6,3,5.5,NA,5.5,"-100","PR1",10,"PR"
"35","6/19/2021",1,"CT",NA,6,3,9,NA,9,"-100","PU1",10,"PU"
"36","6/19/2021",1,"CT",NA,6,3,9.5,NA,9.5,"-100","CT2",10,"CT"
"37","6/19/2021",1,"CT",NA,7,2,2.9,NA,2.9,"-100","PU2",10,"PU"
"38","6/19/2021",1,"CT",NA,7,2,7,NA,7,"-100","CT1",10,"CT"
"39","6/19/2021",1,"CT",NA,7,2,8,NA,8,"-100","PR1",10,"PR"
"40","6/19/2021",1,"CT",NA,7,3,8.5,NA,8.5,"-100","PU1",10,"PU"
"41","6/19/2021",1,"CT",NA,7,3,16,NA,16,"-100","CT2",10,"CT"
"42","6/19/2021",1,"CT",NA,7,4,6,NA,6,"-100","PR2",10,"PR"
"43","6/19/2021",1,"CT",NA,8,2,7.5,NA,7.5,"-100","CT1",10,"CT"
"44","6/19/2021",1,"CT",NA,8,2,9,NA,9,"-100","PU1",10,"PU"
"45","6/19/2021",1,"CT",NA,8,2,9.5,NA,9.5,"-100","PU2",10,"PU"
"46","6/19/2021",1,"CT",NA,8,2,12,NA,12,"-100","CT2",10,"CT"
"47","6/19/2021",1,"CT",NA,8,3,9,NA,9,"-100","PR1",10,"PR"
"48","6/19/2021",1,"CT",NA,8,4,6,NA,6,"-100","PR2",10,"PR"
"49","6/19/2021",1,"CT",NA,9,2,3.5,NA,3.5,"-100","PR2",10,"PR"
"50","6/19/2021",1,"CT",NA,9,2,9.1,NA,9.1,"-100","PU1",10,"PU"
"51","6/19/2021",1,"CT",NA,9,2,10.5,NA,10.5,"-100","PU2",10,"PU"
"52","6/19/2021",1,"CT",NA,9,2,11,NA,11,"-100","CT1",10,"CT"
"53","6/19/2021",1,"CT",NA,9,3,5.5,NA,5.5,"-100","PR1",10,"PR"
"54","6/19/2021",1,"CT",NA,9,3,12,NA,12,"-100","CT2",10,"CT"
"55","6/19/2021",1,"CT",NA,10,2,2,NA,2,"-100","PU1",10,"PU"
"56","6/19/2021",1,"CT",NA,10,2,2.7,NA,2.7,"-100","PR2",10,"PR"
"57","6/19/2021",1,"CT",NA,10,2,5,NA,5,"-100","PR1",10,"PR"
"58","6/19/2021",1,"CT",NA,10,2,8,NA,8,"-100","CT1",10,"CT"
"59","6/19/2021",1,"CT",NA,10,3,11.5,NA,11.5,"-100","PU2",10,"PU"
"60","6/19/2021",1,"CT",NA,10,3,13,NA,13,"-100","CT2",10,"CT"
"61","6/19/2021",1,"F10",NA,1,2,5,NA,5,"-100","PR1",10,"PR"
"62","6/19/2021",1,"F10",NA,1,2,7.5,NA,7.5,"-100","PU1",10,"PU"
"63","6/19/2021",1,"F10",NA,1,2,12.1,NA,12.1,"-100","CT2",10,"CT"
"64","6/19/2021",1,"F10",NA,1,3,9.5,NA,9.5,"-100","PR2",10,"PR"
"65","6/19/2021",1,"F10",NA,1,3,10.5,NA,10.5,"-100","PU2",10,"PU"
"66","6/19/2021",1,"F10",NA,1,3,12,NA,12,"-100","CT1",10,"CT"
